Date,High,Low,Open,Close,Volume,Adj Close,Month,Quarter,Year
2004-11-08,87.80780792,84.78478241,85.55055237,86.36135864,22361216,86.36135864,11,Quarter 4,2004
2004-11-09,87.68769073,82.71772003,87.13713837,84.43443298,22106272,84.43443298,11,Quarter 4,2004
2004-11-10,86.34634399,83.24824524,85.42041779,84.0140152,21266712,84.0140152,11,Quarter 4,2004
2004-11-11,91.96696472,83.86886597,84.64965057,91.60160065,29941029,91.60160065,11,Quarter 4,2004
2004-11-12,94.99499512,88.78878784,92.70771027,91.09108734,33458708,91.09108734,11,Quarter 4,2004
2004-11-15,94.2542572,89.46446228,90.31531525,92.52752686,23779197,92.52752686,11,Quarter 4,2004
2004-11-16,89.82482147,85.50050354,88.83883667,86.35635376,41792965,86.35635376,11,Quarter 4,2004
2004-11-17,88.83883667,84.5845871,84.59459686,86.33633423,36229534,86.33633423,11,Quarter 4,2004
2004-11-18,87.29729462,82.94794464,85.23023224,83.85385132,33225941,83.85385132,11,Quarter 4,2004
2004-11-19,85.07507324,83.34334564,84.63463593,84.78478241,17521061,84.78478241,11,Quarter 4,2004
2004-11-22,84.83483124,80.73573303,82.31731415,82.63262939,24711664,82.63262939,11,Quarter 4,2004
2004-11-23,85.50050354,83.33333588,84.06906891,83.84384155,24801773,83.84384155,11,Quarter 4,2004
2004-11-24,88.69369507,86.34133911,87.49749756,87.46746826,30531438,87.46746826,11,Quarter 4,2004
2004-11-26,90.10510254,87.74774933,87.98799133,89.78478241,12947240,89.78478241,11,Quarter 4,2004
2004-11-29,91.56656647,88.84384155,90.2702713,90.61561584,21311867,90.61561584,11,Quarter 4,2004
2004-11-30,91.59159088,90.21521759,90.4454422,91.08107758,15384600,91.08107758,11,Quarter 4,2004
2004-12-01,91.34133911,89.86486816,91.06606293,90.07006836,15712472,90.07006836,12,Quarter 4,2004
2004-12-02,90.84584808,89.36436462,90.04003906,89.78978729,12509278,89.78978729,12,Quarter 4,2004
2004-12-03,90.62062073,88.8888855,90.06506348,90.29029083,11726662,90.29029083,12,Quarter 4,2004
2004-12-06,90.44043732,88.09809875,89.65465546,88.23323059,12495492,88.23323059,12,Quarter 4,2004
2004-12-07,88.18818665,85.36035919,88.08808899,85.80080414,13728058,85.80080414,12,Quarter 4,2004
2004-12-08,86.92692566,84.44944763,85.26026154,85.07507324,15068516,85.07507324,12,Quarter 4,2004
2004-12-09,86.83683777,84.31932068,85.21021271,86.80180359,15292692,86.80180359,12,Quarter 4,2004
2004-12-10,87.52752686,85.73072815,86.80180359,85.91091156,8625766,85.91091156,12,Quarter 4,2004
2004-12-13,86.67667389,84.80980682,86.1711731,85.31031036,9627563,85.31031036,12,Quarter 4,2004
2004-12-14,89.49949646,84.8848877,85.58558655,89.43443298,22154623,89.43443298,12,Quarter 4,2004
2004-12-15,90.43543243,88.41841888,89.08408356,89.97998047,22919058,89.97998047,12,Quarter 4,2004
2004-12-16,90.33533478,88.06306458,88.56356049,88.32332611,17128454,88.32332611,12,Quarter 4,2004
2004-12-17,90.34033966,88.36336517,88.46846771,90.13012695,14757628,90.13012695,12,Quarter 4,2004
2004-12-20,94.32432556,91.02602386,91.09108734,92.6026001,19649331,92.6026001,12,Quarter 4,2004
2004-12-21,94.03403473,91.79179382,93.24824524,91.96696472,11021567,91.96696472,12,Quarter 4,2004
2004-12-22,93.51851654,91.59659576,92.04204559,93.24324036,7806186,93.24324036,12,Quarter 4,2004
2004-12-23,94.39439392,93.09309387,93.81881714,94.04404449,7221971,94.04404449,12,Quarter 4,2004
2004-12-27,96.74674988,94.64464569,94.6696701,96.05104828,12195992,96.05104828,12,Quarter 4,2004
2004-12-28,96.87187195,95.6006012,96.15115356,96.47647858,8283308,96.47647858,12,Quarter 4,2004
2004-12-29,96.8568573,95.9859848,95.9859848,96.54654694,5350844,96.54654694,12,Quarter 4,2004
2004-12-30,99.21421051,96.02101898,96.58158112,98.89889526,11796791,98.89889526,12,Quarter 4,2004
2004-12-31,100.0400391,96.37637329,99.71471405,96.49149323,15321663,96.49149323,12,Quarter 4,2004
2005-01-03,101.9219208,97.82782745,98.79879761,101.456459,31656712,101.456459,1,Quarter 1,2005
2005-01-04,101.5665665,96.83683777,100.8008041,97.34734344,27484288,97.34734344,1,Quarter 1,2005
2005-01-05,98.54854584,96.21121216,96.82182312,96.85185242,16456727,96.85185242,1,Quarter 1,2005
2005-01-06,98.04804993,93.9539566,97.63763428,94.36936951,20753426,94.36936951,1,Quarter 1,2005
2005-01-07,97.22222137,94.48448181,95.4154129,97.02201843,19306474,97.02201843,1,Quarter 1,2005
